Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
WPN,"fazmerir",33501775,100.0,2025-05-21 14:05,2025-05-21 23:21,490,9.0,H,No Limit,Normal,-327.00,166,Multi-Entry,USD,2,33376,8,,"OSSXL#193 - $60,000 GTD",245,
GGNetwork,"gold soundz",206870466,50.6,2025-05-21 13:30,2025-05-21 23:17,5756,4.4,H,No Limit,Normal,-152.50,2753,6-Max Bounty Deep-Stack Multi-Entry,USD,,35270,6,,"163-M: $55 Bounty Hunters Daily Main [6-Max]",3241,
PokerStars,"lo-fi dream",3883653120,50.0,2025-05-21 17:30,2025-05-21 23:11,1997,5.0,H,No Limit,Turbo,-55.00,458,Bounty Mystery-Bounty Multi-Entry,USD,,20486,7,,"SCOOP 65-M: $55 NLHE [7-Max, Turbo, Mystery Bounty, Daily Cooldown], $125K Gtd",694,
GGNetwork,"gold soundz",206771644,23.0,2025-05-21 14:00,2025-05-21 23:08,2405,2.0,H,No Limit,Normal,-25.00,889,,USD,,32935,8,,"GGMasters Classic $25, $45K GTD",,
WPN,"fazmerir",33499577,30.0,2025-05-21 13:30,2025-05-21 22:54,885,3.0,H,No Limit,Normal,-66.00,184,Multi-Entry,USD,1,33864,8,,"OSSXL#192H - $30,000 GTD",318,
PokerStars,"lo-fi dream",3890381189,68.18,2025-05-21 15:05,2025-05-21 22:38,901,6.82,H,No Limit,Normal,-75.00,495,Multi-Entry,USD,,27180,7,,"SCOOP Side Event: $75 NLHE [7-Max], $80K Gtd",360,
GGNetwork,"gold soundz",206870457,27.6,2025-05-21 12:00,2025-05-21 22:28,5827,2.4,H,No Limit,Normal,-90.00,,Bounty Multi-Entry,USD,,37724,8,,"162-M: $30 The Grand Hunters [Big Bounties]",2594,
PokerStars,"lo-fi dream",3883653101,30.0,2025-05-21 11:05,2025-05-21 22:03,2848,3.0,H,No Limit,Normal,-66.00,864,Deep-Stack Multi-Entry,USD,,39518,8,,"SCOOP 60-M: $33 NLHE [Deep Stacks], $100K Gtd",1209,
PokerStars,"lo-fi dream",3883653101,30.0,2025-05-21 11:05,2025-05-21 22:03,2848,3.0,H,No Limit,Normal,-66.00,2111,Deep-Stack Multi-Entry,USD,,39518,8,,"SCOOP 60-M: $33 NLHE [Deep Stacks], $100K Gtd",1209,
WPN,"fazmerir",33499054,20.0,2025-05-21 14:30,2025-05-21 22:01,856,2.0,H,No Limit,Normal,-22.00,400,Bounty Progressive-Bounty Multi-Entry,USD,,27090,8,,"OSSXL#194 PKO - $20,000 GTD",213,
GGNetwork,"gold soundz",206757065,40.48,2025-05-21 12:35,2025-05-21 21:52,1721,3.52,H,No Limit,Normal,-11.50,501,Bounty Deep-Stack Multi-Entry,USD,,33421,8,32.5,"Bounty Hunters Forty Stack $44",477,
GGNetwork,"gold soundz",206751230,23.0,2025-05-21 12:00,2025-05-21 21:36,4745,2.0,H,No Limit,Normal,-25.00,1514,Bounty,USD,,34579,8,,"GGMasters Bounty Warm-Up $25, $100K GTD",,
WPN,"fazmerir",33500485,100.0,2025-05-21 12:30,2025-05-21 21:34,572,9.0,H,No Limit,Normal,-327.00,189,6-Max Bounty Progressive-Bounty Multi-Entry,USD,2,32693,6,,"OSSXL#190 PKO - $75,000 GTD 6-Max",255,
PokerStars,"lo-fi dream",3890335453,24.55,2025-05-21 11:30,2025-05-21 21:10,1996,2.45,H,No Limit,Normal,-27.00,822,Bounty Progressive-Bounty Multi-Entry,USD,,34822,8,,"SCOOP Edition: $27 Daily Eliminator [Progressive KO], $60K Gtd",460,
GGNetwork,"gold soundz",206784820,49.68,2025-05-21 15:15,2025-05-21 20:40,571,4.32,H,No Limit,Turbo,-54.00,,Bounty Deep-Stack Multi-Entry,USD,,19543,8,,"Bounty Hunters Deepstack Turbo $54",98,
WPN,"fazmerir",33516018,50.0,2025-05-21 11:15,2025-05-21 20:39,763,5.0,H,No Limit,Normal,-165.00,216,Multi-Entry,USD,2,33897,8,,"OSSXL#188H - $50,000 GTD",397,
GGNetwork,"gold soundz",206752042,40.48,2025-05-21 12:05,2025-05-21 20:27,607,3.52,H,No Limit,Normal,-132.00,,Deep-Stack Multi-Entry,USD,,30156,8,,"Forty Stack $44",164,
PokerStars,"lo-fi dream",3890321142,50.0,2025-05-21 16:30,2025-05-21 20:26,177,5.0,H,No Limit,Turbo,39.09,34,Bounty Progressive-Bounty Multi-Entry,USD,,14192,7,94.09,"The Fast 7 $55 [7-Max, 7 Minute Levels, Progressive KO], $10K Gtd",27,43.75
WPN,"fazmerir",33499032,25.0,2025-05-21 11:45,2025-05-21 19:24,878,2.5,H,No Limit,Normal,-110.00,409,Bounty Progressive-Bounty Multi-Entry,USD,3,27558,8,,"OSSXL#189H PKO - 25,000 GTD",204,
GGNetwork,"gold soundz",206742084,49.68,2025-05-21 11:05,2025-05-21 19:22,1072,4.32,H,No Limit,Normal,-54.00,,Bounty Deep-Stack Multi-Entry,USD,,29854,8,,"Bounty Hunters Fifty Stack $54",293,
GGNetwork,"gold soundz",206763811,29.44,2025-05-21 13:15,2025-05-21 18:44,708,2.56,H,No Limit,Turbo,-32.00,,Bounty Deep-Stack Multi-Entry,USD,,19793,8,,"Bounty Hunters Deepstack Turbo $32",110,
WPN,"fazmerir",33498161,15.0,2025-05-21 11:15,2025-05-21 18:21,776,1.5,H,No Limit,Normal,12.21,75,Multi-Entry,USD,,25608,8,28.71,"OSSXL#188M - $15,000 GTD",274,
PokerStars,"lo-fi dream",3883653064,100.0,2025-05-19 16:05,2025-05-20 21:21,1457,9.0,H,No Limit,Normal,-218.00,792,Multi-Entry,USD,,105406,8,,"SCOOP 51-M: $109 NLHE [Single Re-entry], $200K Gtd - 2-Day Event",478,
PokerStars,"lo-fi dream",3883653064,100.0,2025-05-19 16:05,2025-05-20 21:21,1457,9.0,H,No Limit,Normal,-218.00,1735,Multi-Entry,USD,,105406,8,,"SCOOP 51-M: $109 NLHE [Single Re-entry], $200K Gtd - 2-Day Event",478,
PokerStars,"lo-fi dream",3883653062,9.8,2025-05-19 16:05,2025-05-20 20:01,5899,1.2,H,No Limit,Normal,-22.00,3681,Multi-Entry,USD,,100608,8,,"SCOOP 51-L: $11 NLHE [Single Re-entry], $60K Gtd - 2-Day Event",1569,
PokerStars,"lo-fi dream",3883653062,9.8,2025-05-19 16:05,2025-05-20 20:01,5899,1.2,H,No Limit,Normal,-22.00,4234,Multi-Entry,USD,,100608,8,,"SCOOP 51-L: $11 NLHE [Single Re-entry], $60K Gtd - 2-Day Event",1569,
PokerStars,"lo-fi dream",3883653054,50.0,2025-05-19 13:30,2025-05-20 19:11,3356,5.0,H,No Limit,Normal,-110.00,1683,6-Max Bounty Progressive-Bounty Multi-Entry,USD,,106913,6,,"SCOOP 49-L: $55 NLHE [6-Max, Progressive KO, Mini Bounty Builder HR], $200K Gtd - 2-Day Event",1640,
