Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
PokerStars,"KKarlinhos",3866282443,50.0,2025-03-16 13:30,2025-03-16 22:50,3652,5.0,H,No Limit,Normal,-110.00,2523,Bounty Progressive-Bounty Multi-Entry,USD,,33600,8,,"$55 Mini Bounty Builder HR [Progressive KO], $225K Gtd",1261,
PokerStars,"KKarlinhos",3866282443,50.0,2025-03-16 13:30,2025-03-16 22:50,3652,5.0,H,No Limit,Normal,-110.00,2629,Bounty Progressive-Bounty Multi-Entry,USD,,33600,8,,"$55 Mini Bounty Builder HR [Progressive KO], $225K Gtd",1261,
GGNetwork,"LittleCop",194038946,115.0,2025-03-16 12:00,2025-03-16 22:45,1666,10.0,H,No Limit,Normal,-125.00,,Deep-Stack Multi-Entry,USD,,38728,8,,"WSOPC: $125 GRAND PRIX Super Circuit",705,
iPoker,"GOLDLILI",1117963075,45.5,2025-03-16 15:00,2025-03-16 22:39,334,4.5,H,No Limit,Normal,-50.00,179,Bounty Deep-Stack Multi-Entry,EUR,,27597,7,,"SUNDAY ELIMINATOR II",78,
GGNetwork,"LittleCop",194541689,18.4,2025-03-16 18:45,2025-03-16 22:30,1828,1.6,H,No Limit,Super Turbo,-20.00,,6-Max Multi-Entry,USD,,13555,6,,"Sunday Hypersonic $20",558,
PokerStars,"KKarlinhos",3868050612,20.95,2025-03-16 20:35,2025-03-16 22:26,427,1.05,H,No Limit,Super Turbo,-22.00,219,Multi-Entry,USD,,6702,7,,"Hotter Hyper $22, $7K Gtd",41,
iPoker,"GOLDLILI",1118115362,91.0,2025-03-16 12:30,2025-03-16 22:10,692,9.0,H,No Limit,Normal,-100.00,675,Bounty Deep-Stack Multi-Entry,EUR,,34848,8,,"E3|SHAMROCK OPENER €100,000",270,
GGNetwork,"LittleCop",194038949,40.48,2025-03-16 12:30,2025-03-16 22:08,5805,3.52,H,No Limit,Normal,1.00,1147,Bounty Deep-Stack Multi-Entry,USD,,34719,8,45.0,"WSOPC: $44 Bounty Flowery FORTY STACK",1820,
PokerStars,"KKarlinhos",3866282458,100.0,2025-03-16 17:02,2025-03-16 21:28,654,9.0,H,No Limit,Turbo,-109.00,556,Bounty Progressive-Bounty Multi-Entry,USD,,16018,8,,"$109 Sunday Cooldown [8-Max, Turbo, Progressive KO], $80K Gtd",91,
PokerStars,"KKarlinhos",3868052242,30.0,2025-03-16 15:00,2025-03-16 20:54,234,3.0,H,No Limit,Normal,-33.00,56,Multi-Entry,USD,,21250,8,,"Bigger $33, $6K Gtd",38,
PokerStars,"KKarlinhos",3866282461,31.43,2025-03-16 18:02,2025-03-16 20:46,1452,1.57,H,No Limit,Super Turbo,-33.00,1229,6-Max Multi-Entry,USD,,9898,6,,"$33 Mini Sunday Supersonic [6-Max, Hyper-Turbo], $50K Gtd",392,
GGNetwork,"LittleCop",194509219,49.68,2025-03-16 15:15,2025-03-16 20:42,783,4.32,H,No Limit,Turbo,-54.00,,Bounty Deep-Stack Multi-Entry,USD,,19622,8,,"Bounty Hunters Deepstack Turbo $54",143,
PokerStars,"KKarlinhos",3868050595,15.5,2025-03-16 18:35,2025-03-16 20:38,671,1.0,H,No Limit,Super Turbo,10.77,53,Bounty Progressive-Bounty Multi-Entry,USD,,7436,7,27.27,"Hotter Hyper $16.50 [Progressive KO], $10K Gtd",65,3.75
iPoker,"GOLDLILI",1117946825,45.5,2025-03-16 12:00,2025-03-16 20:14,429,4.5,H,No Limit,Normal,66.86,29,Bounty Deep-Stack Multi-Entry,EUR,,29685,8,116.86,"€50 EARLY ELIMINATOR",92,39.82
PokerStars,"KKarlinhos",3868050548,20.0,2025-03-16 16:15,2025-03-16 20:11,772,2.0,H,No Limit,Turbo,-22.00,370,Bounty Progressive-Bounty Multi-Entry,USD,,14198,8,,"Hotter $22 [Progressive KO], $15K Gtd",88,
PokerStars,"KKarlinhos",3868052220,100.0,2025-03-16 13:00,2025-03-16 19:13,168,9.0,H,No Limit,Normal,-109.00,57,Multi-Entry,USD,,22389,8,,"Bigger $109, $20K Gtd",37,
PokerStars,"KKarlinhos",3868050523,50.0,2025-03-16 15:15,2025-03-16 18:22,150,5.0,H,No Limit,Turbo,-55.00,125,Bounty Progressive-Bounty Multi-Entry,USD,,11221,8,,"Hotter $55 [Progressive KO], $7K Gtd",16,
GGNetwork,"LittleCop",193504393,46.0,2025-03-16 13:00,2025-03-16 15:34,2294,4.0,H,No Limit,Normal,-50.00,,Satellite Multi-Entry,USD,,9258,8,,"The Weekender [Last Chance]",334,
GGNetwork,"LittleCop",194144249,23.0,2025-03-14 16:00,2025-03-15 01:24,3452,2.0,H,No Limit,Normal,-25.00,1137,Bounty,USD,,33895,8,,"GGMasters Bounty $25, $60K GTD",,
GGNetwork,"LittleCop",194038769,50.6,2025-03-14 16:00,2025-03-15 00:51,726,4.4,H,No Limit,Normal,-55.00,,Deep-Stack Multi-Entry,USD,,31874,8,,"WSOPC: $55 Fifty Stack",219,
GGNetwork,"LittleCop",194038764,99.36,2025-03-14 15:30,2025-03-15 00:30,812,8.64,H,No Limit,Normal,-108.00,579,Bounty,USD,,32451,8,,"WSOPC: $108 Bounty Circuit Freezeout",,
iPoker,"GOLDLILI",1117756969,22.75,2025-03-14 13:30,2025-03-15 00:02,802,2.25,H,No Limit,Normal,-19.31,400,Bounty Deep-Stack Multi-Entry,EUR,,37935,8,5.69,"€25 FRIDAY BOUNTY KING",244,5.69
