Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
GGNetwork,"Bittar2025",273286627,46.0,2026-03-29 20:05,2026-03-29 23:30,989,4.0,H,No Limit,Super Turbo,-50.00,,6-Max Multi-Entry,USD,,12358,6,,"Sunday Saver $50 [Hyper]",330,
GGNetwork,"Bittar2025",272476198,30.36,2026-03-29 11:00,2026-03-29 23:27,3575,2.64,H,No Limit,Normal,-33.00,,Multi-Entry,USD,,44845,8,,"WSOP-SC: $33 Sunday Mini MARATHON",1483,
PokerStars,"Mr.Bittar",3986372737,50.0,2026-03-29 13:30,2026-03-29 23:08,3344,5.0,H,No Limit,Normal,-110.00,3582,Bounty Progressive-Bounty Multi-Entry,USD,,34683,8,,"$55 Mini Bounty Builder HR [Progressive KO], $200K Gtd",1076,
PokerStars,"Mr.Bittar",3986372737,50.0,2026-03-29 13:30,2026-03-29 23:08,3344,5.0,H,No Limit,Normal,-110.00,4044,Bounty Progressive-Bounty Multi-Entry,USD,,34683,8,,"$55 Mini Bounty Builder HR [Progressive KO], $200K Gtd",1076,
GGNetwork,"Bittar2025",273283628,49.68,2026-03-29 19:45,2026-03-29 22:50,741,4.32,H,No Limit,Normal,-54.00,,6-Max Bounty Multi-Entry,USD,,11131,6,,"Bounty Hunters Sunday Hyper Special $54",176,
GGNetwork,"Bittar2025",273291794,27.6,2026-03-29 20:45,2026-03-29 22:48,274,2.4,H,No Limit,Super Turbo,-30.00,,6-Max Multi-Entry,USD,,7390,6,,"Sunday Hyper $30",61,
GGNetwork,"Bittar2025",273274117,18.4,2026-03-29 18:45,2026-03-29 22:31,1779,1.6,H,No Limit,Super Turbo,-40.00,,6-Max Multi-Entry,USD,,13578,6,,"Sunday Hypersonic $20",604,
GGNetwork,"Bittar2025",272476228,40.48,2026-03-29 12:30,2026-03-29 22:21,6544,3.52,H,No Limit,Normal,-44.00,,Bounty Deep-Stack Multi-Entry,USD,,35512,8,,"WSOP-SC: $44 Bounty Flowery FORTY STACK",2117,
GGNetwork,"Bittar2025",273283623,18.4,2026-03-29 19:45,2026-03-29 22:14,825,1.6,H,No Limit,Super Turbo,33.23,62,6-Max Multi-Entry,USD,,8941,6,53.23,"Sunday Hyper $20",215,
GGNetwork,"Bittar2025",272476220,23.0,2026-03-29 12:00,2026-03-29 22:11,6342,2.0,H,No Limit,Normal,215.32,63,Deep-Stack Multi-Entry,USD,,36713,8,240.32,"WSOP-SC: $25 Mini GRAND PRIX Super Circuit",2037,
PokerStars,"Mr.Bittar",3986372723,24.55,2026-03-29 11:30,2026-03-29 22:08,2720,2.45,H,No Limit,Normal,-27.00,2555,Bounty Progressive-Bounty Multi-Entry,USD,,38320,8,,"$27 Sunday Eliminator [Progressive KO], $80K Gtd",693,
GGNetwork,"Bittar2025",273274112,9.2,2026-03-29 18:45,2026-03-29 21:26,1426,0.8,H,No Limit,Super Turbo,12.41,178,6-Max Multi-Entry,USD,,9675,6,22.41,"Sunday Hyper $10",367,
GGNetwork,"Bittar2025",272476186,23.0,2026-03-29 10:00,2026-03-29 21:24,5670,2.0,H,No Limit,Normal,24.56,803,Deep-Stack Multi-Entry,USD,,41055,8,49.56,"WSOP-SC: $25 Sunday Mini MONSTER Stack",1977,
GGNetwork,"Bittar2025",273263619,9.94,2026-03-29 17:45,2026-03-29 21:04,2502,0.86,H,No Limit,Normal,64.86,101,6-Max Bounty Multi-Entry,USD,,11982,6,75.66,"Bounty Hunters Sunday Hyper Special $10.80",650,
PokerStars,"Mr.Bittar",3986372726,20.0,2026-03-29 12:05,2026-03-29 20:46,1578,2.0,H,No Limit,Normal,-22.00,415,Multi-Entry,USD,,31270,8,,"$22 Mini Sunday Warm-Up, $40K Gtd / New Tournament!",435,
GGNetwork,"Bittar2025",273978142,13.8,2026-03-29 10:30,2026-03-29 20:42,11626,1.2,H,No Limit,Normal,-8.00,2939,Bounty Multi-Entry,USD,,36748,8,7.0,"WSOP-SC: $15 Sunday Bounty Dream of Spring",5197,
GGNetwork,"Bittar2025",272476204,80.96,2026-03-29 11:30,2026-03-29 20:26,2382,7.04,H,No Limit,Normal,-88.00,,Bounty Multi-Entry,USD,,32170,8,,"WSOP-SC: $88 Sunday Bounty Warm-Up",722,
GGNetwork,"Bittar2025",273263623,18.4,2026-03-29 17:45,2026-03-29 20:25,1065,1.6,H,No Limit,Super Turbo,68.95,31,6-Max Multi-Entry,USD,,9642,6,88.95,"Sunday Hyper $20",266,
GGNetwork,"Bittar2025",273252236,19.87,2026-03-29 16:45,2026-03-29 20:05,1714,1.73,H,No Limit,Normal,-21.60,,6-Max Bounty Multi-Entry,USD,,12055,6,,"Bounty Hunters Hyper Special $21.60",410,
GGNetwork,"Bittar2025",273240641,18.4,2026-03-29 15:45,2026-03-29 19:30,1872,1.6,H,No Limit,Super Turbo,-40.00,,6-Max Multi-Entry,USD,,13543,6,,"Sunday Hypersonic $20",647,
GGNetwork,"Bittar2025",273168831,356.96,2026-03-29 09:00,2026-03-29 18:47,2633,31.04,H,No Limit,Normal,-776.00,,Deep-Stack Multi-Entry,CNY,,35279,8,,"Zodiac Sunday Main Event ¥388",1205,
GGNetwork,"Bittar2025",272636526,23.0,2026-03-29 16:00,2026-03-29 18:20,2623,2.0,H,No Limit,Normal,-25.00,,Satellite Bounty Multi-Entry,USD,,8438,8,,"The Weekender Bounty Closer, $200K GTD [Last Chance]",471,
GGNetwork,"Bittar2025",273189492,29.44,2026-03-29 11:15,2026-03-29 17:09,1190,2.56,H,No Limit,Turbo,-24.50,649,Bounty Deep-Stack Multi-Entry,USD,,21270,8,7.5,"Bounty Hunters Deepstack Turbo $32",189,
GGNetwork,"Bittar2025",273216644,13.8,2026-03-29 13:45,2026-03-29 16:23,1450,1.2,H,No Limit,Super Turbo,-15.00,,6-Max Multi-Entry,USD,,9518,6,,"Sunday Hyper $15",374,
GGNetwork,"Bittar2025",273164467,13.8,2026-03-29 08:30,2026-03-29 16:23,2933,1.2,H,No Limit,Normal,-15.00,,Bounty Multi-Entry,USD,,28399,7,,"Bounty Hunters Sunday Special $15 [7-Max]",1044,
GGNetwork,"Bittar2025",273179917,49.68,2026-03-29 10:15,2026-03-29 16:23,975,4.32,H,No Limit,Turbo,-41.50,455,Bounty Deep-Stack Multi-Entry,USD,,22085,8,12.5,"Bounty Hunters Deepstack Turbo $54",190,
